brand,total_brand_tweets,total_inbound_tweets,thread_count,avg_turns_per_thread,median_turns_per_thread,pct_threads_3plus_turns,dm_deflection_rate_pct,tech_link_density_pct,customer_confirm_rate_pct,pii_exposure_rate_pct,rag_score
microsofthelps,11304,10974,4437,5.48,4.0,81.07,7.81,65.77,25.38,7.61,0.8262021349846138
amazonhelp,169840,189092,82493,4.52,3.0,62.06,0.82,48.79,13.07,8.53,0.72003492401674
nikesupport,3468,4111,1559,4.98,4.0,62.99,10.99,57.96,21.04,7.37,0.6984823783924912
askvirginmoney,914,977,396,4.87,4.0,65.4,8.86,22.65,35.61,13.41,0.6851815660805965
nationalrailenq,4444,4816,2249,4.42,4.0,69.19,0.38,19.35,28.32,1.7,0.6789415467581157
googleplaymusic,804,1048,544,3.55,3.0,55.51,1.0,67.04,22.06,6.01,0.6785580927461812
sw_help,12231,14175,6187,4.55,3.0,68.14,0.72,22.7,24.2,2.77,0.6642142051621543
azuresupport,7565,6726,3309,4.45,3.0,62.53,18.96,47.35,22.39,3.14,0.663028226469591
adobecare,9917,9882,5091,4.12,3.0,52.84,9.12,51.15,23.57,4.57,0.6526190134447575
officesupport,218,210,97,4.64,4.0,78.35,26.61,35.32,20.62,7.14,0.6485445764466292
xboxsupport,24557,25774,13390,4.15,3.0,62.22,20.93,49.99,17.84,2.35,0.6408483329695265
awssupport,1035,1302,904,2.8,2.0,46.02,0.39,70.34,23.23,8.68,0.634744480792522
askamex,11358,9066,4279,4.84,4.0,78.62,2.04,20.34,17.69,11.46,0.6328505634606159
virgintrains,27817,33824,14818,4.42,3.0,61.76,2.59,16.11,24.92,3.36,0.6321399636545108
gwrhelp,19364,24462,10661,4.34,3.0,64.53,1.49,12.26,24.76,2.3,0.6271849500117961
askseagate,639,661,343,3.93,3.0,53.64,10.33,57.43,19.83,8.62,0.6236632071425169
mediatemplehelp,305,292,174,3.51,3.0,56.9,4.92,46.56,23.56,9.25,0.6221863224379192
londonmidland,6822,8315,3644,4.38,3.0,64.96,0.98,10.42,24.48,2.02,0.6175412629165473
dellcares,5336,3622,1988,4.99,4.0,76.36,37.52,29.5,20.07,8.45,0.6166377112263545
tesco,38573,30030,16653,4.33,4.0,69.42,26.83,12.83,23.92,3.47,0.6057912049951132
sainsburys,19466,20567,10836,3.87,3.0,56.6,23.16,32.56,23.76,2.47,0.5988179704406489
verizonsupport,17966,21892,8294,5.17,4.0,65.87,11.7,24.47,16.63,10.93,0.5973820716373304
virginatlantic,4318,5510,2759,3.69,3.0,57.27,8.01,17.69,30.23,7.59,0.5972966061638021
hulu_support,21872,24512,14906,3.21,2.0,39.23,0.55,62.47,17.23,3.72,0.5954959124229772
ihgservice,2643,2586,1745,3.13,2.0,49.8,40.75,84.6,17.25,8.39,0.5940729200541797
asktigogh,715,770,322,5.08,3.0,62.42,5.45,26.71,14.6,7.4,0.5870868766667208
bofa_help,12683,10833,6541,3.76,3.0,58.94,7.03,43.96,14.83,8.57,0.582194443324522
twittersupport,1290,1398,1219,3.2,2.0,35.27,0.16,98.76,4.35,5.36,0.5816669952556737
nortonsupport,2011,1961,897,4.7,3.0,53.29,13.38,38.89,15.38,5.66,0.5758853823613391
askciti,4081,3448,2314,3.4,3.0,53.46,27.81,73.07,15.25,15.02,0.5747686030571354
scsupport,1329,1512,980,3.0,2.0,40.61,0.75,57.94,17.35,6.42,0.5622163051019646
dropboxsupport,5954,5043,3173,3.63,3.0,53.67,19.87,43.8,18.91,8.55,0.5616444931792625
jetblue,8020,9114,5156,3.42,3.0,51.28,11.82,23.83,24.52,3.5,0.5588443519609172
yahoocare,906,1124,538,4.05,3.0,63.01,30.79,48.9,19.33,24.11,0.554925943378143
uscellularcares,1177,1329,529,4.88,4.0,58.03,0.85,30.67,15.12,20.02,0.5523633953803017
hpsupport,7200,4867,3840,3.26,3.0,61.38,38.85,63.68,10.83,7.19,0.5502819474425079
atviassist,17650,25472,11093,4.33,2.0,49.09,24.27,38.41,14.19,0.55,0.5489769328849797
pearsonsupport,841,914,604,3.06,2.0,37.91,9.75,62.31,15.56,4.38,0.5470525698032848
tfl,2243,2361,1569,3.26,2.0,48.31,3.03,30.94,21.41,6.65,0.5457138976306803
o2,16212,18404,9533,3.81,2.0,46.42,28.29,57.25,19.63,20.34,0.5427487061734607
british_airways,29361,29185,16378,3.68,3.0,53.46,14.0,12.02,24.38,6.77,0.5422224761936791
moo,630,684,477,2.98,2.0,38.16,9.84,14.92,34.38,3.51,0.5401509698934803
spotifycares,43265,45154,28249,3.25,2.0,37.06,30.79,58.49,17.69,7.59,0.5355590617489969
idea_cares,15724,17012,7514,4.62,3.0,64.99,20.48,40.31,11.78,25.06,0.533221103641384
glocare,6308,7502,3217,4.64,3.0,57.07,1.79,25.22,18.12,25.61,0.531781111487559
delta,42253,41424,26039,3.34,2.0,42.32,17.1,18.55,25.58,4.89,0.528965881116603
applesupport,106860,119842,80650,2.96,2.0,34.81,52.47,82.99,13.72,19.27,0.5279680724959593
oppocarein,879,972,451,4.49,3.0,64.75,19.23,33.9,12.2,19.14,0.5245168040321917
godaddyhelp,1965,2262,1450,3.1,2.0,42.07,33.54,62.09,19.38,14.32,0.5182701788651801
uber_support,56270,65802,41891,3.06,2.0,35.94,35.18,69.82,12.65,12.62,0.5109426397458434
alaskaair,7478,8636,5585,2.99,2.0,35.4,13.76,20.77,28.52,3.05,0.5102160015656534
asksalesforce,710,813,485,3.38,2.0,49.69,22.39,28.59,22.68,11.44,0.509854960666293
