cluster_id,intent_name,size,pct,top_10_keywords
C1_general_os,General Windows / OS Issues,1661,37.3,"update, win, laptop, microsoft, pc, just, computer, new, hi, fix"
C6,Windows Update & Upgrade Failures,813,18.2,"update, windows update, laptop, pc, updates, install, new, computer, just, time"
C8,Generic Error & Troubleshooting,357,8.0,"windows, hi, update, trying, ve, error, pc, having, problem, hello"
C1_office_365,Office 365 & Productivity Apps,316,7.1,"outlook, office, word, microsoft, access, onedrive, email, excel, work, update"
C5,Account Access & Sign-In Issues,225,5.0,"email, help, microsoft, microsoft account, xbox, access, hi, need, password, ve"
C4,Surface Hardware & Accessories,201,4.5,"pro, surface pro, book, surface book, screen, new, help, update, pen, fix"
C7,Feature / Major Release Updates,193,4.3,"fall, fall creators, windows, windows fall, windows creators, install, update windows, just, new, updated"
C3,Support Channel Navigation,186,4.2,"microsoft, customer, help, windows, service, chat, need, just, customer service, tech"
C2,BSOD / Screen & Display Failures,181,4.1,"windows, update, black, fix, blue, blue screen, just, laptop, black screen, help"
C1_xbox_gaming,Xbox & Gaming Issues,141,3.2,"xbox, game, just, minecraft, bought, controller, hi, live, pc, play"
C0,Urgent / Distress Escalation,83,1.9,"need help, windows, hey, pc, help asap, asap, account, email, working, im"
C1_email_account,"Email, Hotmail & Account Sync",74,1.7,"email, app, microsoft, emails, trying, getting, sync, want, hotmail, just"
C1_store_app,Microsoft Store & App Downloads,27,0.6,"microsoft, store, microsoft store, download, update, apps, app, bought, just, windows"
